country,cases,deaths,deathrate
United States of America,208269,1265,0.006073875612789229
United Kingdom,17530,250,0.01426126640045636
Thailand,10449,187,0.017896449420997225
Mexico,24949,656,0.02629363902360816
Germany,10043,60,0.005974310465000498
China,9213,147,0.015955714750895474
Chile,12470,148,0.011868484362469928
Canada,12030,309,0.025685785536159602
Australia,43771,190,0.004340773571542803
Argentina,5710,613,0.10735551663747811
