Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
China,Western Pacific Region of WHO,Eastern Asia,2013,20,2013-05-13,2013-05-19,7285,5260,0,193,31,0,2,226,4,5,13,22,248,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,21,2013-05-20,2013-05-26,7607,5751,0,226,29,0,2,257,4,4,12,20,277,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,22,2013-05-27,2013-06-02,7228,5170,0,138,22,0,0,160,5,4,16,25,185,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,23,2013-06-03,2013-06-09,7013,4761,0,124,37,0,7,168,4,1,18,23,191,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,24,2013-06-10,2013-06-16,6751,4963,0,123,35,0,0,158,8,4,6,18,176,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,25,2013-06-17,2013-06-23,7435,5537,0,119,47,0,4,170,7,3,13,23,193,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,26,2013-06-24,2013-06-30,6956,4835,0,123,50,0,7,180,10,1,21,32,212,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,27,2013-07-01,2013-07-07,6871,5253,0,111,79,0,5,195,5,1,21,27,222,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,28,2013-07-08,2013-07-14,6726,4875,0,88,90,0,0,178,7,0,11,18,196,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,29,2013-07-15,2013-07-21,6972,4986,0,82,108,0,2,192,5,2,14,21,213,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,30,2013-07-22,2013-07-28,7193,5270,0,77,157,0,0,234,6,1,18,25,259,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,31,2013-07-29,2013-08-04,6767,4548,0,82,188,0,6,276,5,0,11,16,292,,Sporadic
