date,cases,deaths,url
2003-06-10 00:00:00,8430,789,https://www.who.int/csr/sars/country/2003_06_10/en/
2003-06-11 00:00:00,8435,789,https://www.who.int/csr/sars/country/2003_06_11/en/
2003-06-12 00:00:00,8445,790,https://www.who.int/csr/sars/country/2003_06_12/en/
2003-06-13 00:00:00,8454,792,https://www.who.int/csr/sars/country/2003_06_13/en/
2003-06-16 00:00:00,8460,799,https://www.who.int/csr/sars/country/2003_06_16/en/
2003-06-17 00:00:00,8464,799,https://www.who.int/csr/sars/country/2003_06_17/en/
2003-06-18 00:00:00,8465,801,https://www.who.int/csr/sars/country/2003_06_18/en/
2003-06-19 00:00:00,8462,804,https://www.who.int/csr/sars/country/2003_06_19/en/
2003-06-20 00:00:00,8461,804,https://www.who.int/csr/sars/country/2003_06_20/en/
2003-06-23 00:00:00,8459,805,https://www.who.int/csr/sars/country/2003_06_23/en/
2003-06-24 00:00:00,8458,807,https://www.who.int/csr/sars/country/2003_06_24/en/
2003-06-25 00:00:00,8460,808,https://www.who.int/csr/sars/country/2003_06_25/en/
2003-06-26 00:00:00,8456,809,https://www.who.int/csr/sars/country/2003_06_26/en/
2003-06-27 00:00:00,8450,810,https://www.who.int/csr/sars/country/2003_06_27/en/
2003-06-30 00:00:00,8447,811,https://www.who.int/csr/sars/country/2003_06_30/en/
2003-07-01 00:00:00,8445,812,https://www.who.int/csr/sars/country/2003_07_01/en/
2003-07-02 00:00:00,8442,812,https://www.who.int/csr/sars/country/2003_07_02/en/
2003-07-03 00:00:00,8439,812,https://www.who.int/csr/sars/country/2003_07_03/en/
2003-07-04 00:00:00,8439,812,https://www.who.int/csr/sars/country/2003_07_04/en/
2003-07-07 00:00:00,8439,812,https://www.who.int/csr/sars/country/2003_07_07/en/
2003-07-08 00:00:00,8436,812,https://www.who.int/csr/sars/country/2003_07_08/en/
2003-07-09 00:00:00,8436,812,https://www.who.int/csr/sars/country/2003_07_09/en/
2003-07-10 00:00:00,8437,812,https://www.who.int/csr/sars/country/2003_07_10/en/
2003-07-11 00:00:00,8437,813,https://www.who.int/csr/sars/country/2003_07_11/en/
